"emoticon","sentiment"
"<:-)",1
"<:-]",1
"<:-(",-1
"<:-[",-1
"<:-d",1
"<:-D",1
"<:-p",1
"<:-P",1
"<:-/",-1
"<:-:",-1
"<:-}",1
"<:-{",-1
"<:-|",-1
"<:-\",-1
"<:o)",1
"<:o]",1
"<:o(",-1
"<:o[",-1
"<:od",1
"<:oD",1
"<:op",1
"<:oP",1
"<:o/",-1
"<:o:",-1
"<:o}",1
"<:o{",-1
"<:o|",-1
"<:o\",-1
"<:*)",1
"<:*]",1
"<:*(",-1
"<:*[",-1
"<:*d",1
"<:*D",1
"<:*p",1
"<:*P",1
"<:*/",-1
"<:*:",-1
"<:*}",1
"<:*{",-1
"<:*|",-1
"<:*\",-1
"<:')",1
"<:']",1
"<:'(",-1
"<:'[",-1
"<:'d",1
"<:'D",1
"<:'p",1
"<:'P",1
"<:'/",-1
"<:':",-1
"<:'}",1
"<:'{",-1
"<:'|",-1
"<:'\",-1
"<:)",1
"<:]",1
"<:(",-1
"<:[",-1
"<:d",1
"<:D",1
"<:p",1
"<:P",1
"<:/",-1
"<::",-1
"<:}",1
"<:{",-1
"<:|",-1
"<:\",-1
"<;-)",1
"<;-]",1
"<;-(",-1
"<;-[",-1
"<;-d",1
"<;-D",1
"<;-p",1
"<;-P",1
"<;-/",-1
"<;-:",-1
"<;-}",1
"<;-{",-1
"<;-|",-1
"<;-\",-1
"<;o)",1
"<;o]",1
"<;o(",-1
"<;o[",-1
"<;od",1
"<;oD",1
"<;op",1
"<;oP",1
"<;o/",-1
"<;o:",-1
"<;o}",1
"<;o{",-1
"<;o|",-1
"<;o\",-1
"<;*)",1
"<;*]",1
"<;*(",-1
"<;*[",-1
"<;*d",1
"<;*D",1
"<;*p",1
"<;*P",1
"<;*/",-1
"<;*:",-1
"<;*}",1
"<;*{",-1
"<;*|",-1
"<;*\",-1
"<;')",1
"<;']",1
"<;'(",-1
"<;'[",-1
"<;'d",1
"<;'D",1
"<;'p",1
"<;'P",1
"<;'/",-1
"<;':",-1
"<;'}",1
"<;'{",-1
"<;'|",-1
"<;'\",-1
"<;)",1
"<;]",1
"<;(",-1
"<;[",-1
"<;d",1
"<;D",1
"<;p",1
"<;P",1
"<;/",-1
"<;:",-1
"<;}",1
"<;{",-1
"<;|",-1
"<;\",-1
"<=-)",1
"<=-]",1
"<=-(",-1
"<=-[",-1
"<=-d",1
"<=-D",1
"<=-p",1
"<=-P",1
"<=-/",-1
"<=-:",-1
"<=-}",1
"<=-{",-1
"<=-|",-1
"<=-\",-1
"<=o)",1
"<=o]",1
"<=o(",-1
"<=o[",-1
"<=od",1
"<=oD",1
"<=op",1
"<=oP",1
"<=o/",-1
"<=o:",-1
"<=o}",1
"<=o{",-1
"<=o|",-1
"<=o\",-1
"<=*)",1
"<=*]",1
"<=*(",-1
"<=*[",-1
"<=*d",1
"<=*D",1
"<=*p",1
"<=*P",1
"<=*/",-1
"<=*:",-1
"<=*}",1
"<=*{",-1
"<=*|",-1
"<=*\",-1
"<=')",1
"<=']",1
"<='(",-1
"<='[",-1
"<='d",1
"<='D",1
"<='p",1
"<='P",1
"<='/",-1
"<=':",-1
"<='}",1
"<='{",-1
"<='|",-1
"<='\",-1
"<=)",1
"<=]",1
"<=(",-1
"<=[",-1
"<=d",1
"<=D",1
"<=p",1
"<=P",1
"<=/",-1
"<=:",-1
"<=}",1
"<={",-1
"<=|",-1
"<=\",-1
">:-)",1
">:-]",1
">:-(",-1
">:-[",-1
">:-d",1
">:-D",1
">:-p",1
">:-P",1
">:-/",-1
">:-:",-1
">:-}",1
">:-{",-1
">:-|",-1
">:-\",-1
">:o)",1
">:o]",1
">:o(",-1
">:o[",-1
">:od",1
">:oD",1
">:op",1
">:oP",1
">:o/",-1
">:o:",-1
">:o}",1
">:o{",-1
">:o|",-1
">:o\",-1
">:*)",1
">:*]",1
">:*(",-1
">:*[",-1
">:*d",1
">:*D",1
">:*p",1
">:*P",1
">:*/",-1
">:*:",-1
">:*}",1
">:*{",-1
">:*|",-1
">:*\",-1
">:')",1
">:']",1
">:'(",-1
">:'[",-1
">:'d",1
">:'D",1
">:'p",1
">:'P",1
">:'/",-1
">:':",-1
">:'}",1
">:'{",-1
">:'|",-1
">:'\",-1
">:)",1
">:]",1
">:(",-1
">:[",-1
">:d",1
">:D",1
">:p",1
">:P",1
">:/",-1
">::",-1
">:}",1
">:{",-1
">:|",-1
">:\",-1
">;-)",1
">;-]",1
">;-(",-1
">;-[",-1
">;-d",1
">;-D",1
">;-p",1
">;-P",1
">;-/",-1
">;-:",-1
">;-}",1
">;-{",-1
">;-|",-1
">;-\",-1
">;o)",1
">;o]",1
">;o(",-1
">;o[",-1
">;od",1
">;oD",1
">;op",1
">;oP",1
">;o/",-1
">;o:",-1
">;o}",1
">;o{",-1
">;o|",-1
">;o\",-1
">;*)",1
">;*]",1
">;*(",-1
">;*[",-1
">;*d",1
">;*D",1
">;*p",1
">;*P",1
">;*/",-1
">;*:",-1
">;*}",1
">;*{",-1
">;*|",-1
">;*\",-1
">;')",1
">;']",1
">;'(",-1
">;'[",-1
">;'d",1
">;'D",1
">;'p",1
">;'P",1
">;'/",-1
">;':",-1
">;'}",1
">;'{",-1
">;'|",-1
">;'\",-1
">;)",1
">;]",1
">;(",-1
">;[",-1
">;d",1
">;D",1
">;p",1
">;P",1
">;/",-1
">;:",-1
">;}",1
">;{",-1
">;|",-1
">;\",-1
">=-)",1
">=-]",1
">=-(",-1
">=-[",-1
">=-d",1
">=-D",1
">=-p",1
">=-P",1
">=-/",-1
">=-:",-1
">=-}",1
">=-{",-1
">=-|",-1
">=-\",-1
">=o)",1
">=o]",1
">=o(",-1
">=o[",-1
">=od",1
">=oD",1
">=op",1
">=oP",1
">=o/",-1
">=o:",-1
">=o}",1
">=o{",-1
">=o|",-1
">=o\",-1
">=*)",1
">=*]",1
">=*(",-1
">=*[",-1
">=*d",1
">=*D",1
">=*p",1
">=*P",1
">=*/",-1
">=*:",-1
">=*}",1
">=*{",-1
">=*|",-1
">=*\",-1
">=')",1
">=']",1
">='(",-1
">='[",-1
">='d",1
">='D",1
">='p",1
">='P",1
">='/",-1
">=':",-1
">='}",1
">='{",-1
">='|",-1
">='\",-1
">=)",1
">=]",1
">=(",-1
">=[",-1
">=d",1
">=D",1
">=p",1
">=P",1
">=/",-1
">=:",-1
">=}",1
">={",-1
">=|",-1
">=\",-1
":-)",1
":-]",1
":-(",-1
":-[",-1
":-d",1
":-D",1
":-p",1
":-P",1
":-/",-1
":-:",-1
":-}",1
":-{",-1
":-|",-1
":-\",-1
":o)",1
":o]",1
":o(",-1
":o[",-1
":od",1
":oD",1
":op",1
":oP",1
":o/",-1
":o:",-1
":o}",1
":o{",-1
":o|",-1
":o\",-1
":*)",1
":*]",1
":*(",-1
":*[",-1
":*d",1
":*D",1
":*p",1
":*P",1
":*/",-1
":*:",-1
":*}",1
":*{",-1
":*|",-1
":*\",-1
":')",1
":']",1
":'(",-1
":'[",-1
":'d",1
":'D",1
":'p",1
":'P",1
":'/",-1
":':",-1
":'}",1
":'{",-1
":'|",-1
":'\",-1
":)",1
":]",1
":(",-1
":[",-1
":d",1
":D",1
":p",1
":P",1
":/",-1
"::",-1
":}",1
":{",-1
":|",-1
":\",-1
";-)",1
";-]",1
";-(",-1
";-[",-1
";-d",1
";-D",1
";-p",1
";-P",1
";-/",-1
";-:",-1
";-}",1
";-{",-1
";-|",-1
";-\",-1
";o)",1
";o]",1
";o(",-1
";o[",-1
";od",1
";oD",1
";op",1
";oP",1
";o/",-1
";o:",-1
";o}",1
";o{",-1
";o|",-1
";o\",-1
";*)",1
";*]",1
";*(",-1
";*[",-1
";*d",1
";*D",1
";*p",1
";*P",1
";*/",-1
";*:",-1
";*}",1
";*{",-1
";*|",-1
";*\",-1
";')",1
";']",1
";'(",-1
";'[",-1
";'d",1
";'D",1
";'p",1
";'P",1
";'/",-1
";':",-1
";'}",1
";'{",-1
";'|",-1
";'\",-1
";)",1
";]",1
";(",-1
";[",-1
";d",1
";D",1
";p",1
";P",1
";/",-1
";:",-1
";}",1
";{",-1
";|",-1
";\",-1
"=-)",1
"=-]",1
"=-(",-1
"=-[",-1
"=-d",1
"=-D",1
"=-p",1
"=-P",1
"=-/",-1
"=-:",-1
"=-}",1
"=-{",-1
"=-|",-1
"=-\",-1
"=o)",1
"=o]",1
"=o(",-1
"=o[",-1
"=od",1
"=oD",1
"=op",1
"=oP",1
"=o/",-1
"=o:",-1
"=o}",1
"=o{",-1
"=o|",-1
"=o\",-1
"=*)",1
"=*]",1
"=*(",-1
"=*[",-1
"=*d",1
"=*D",1
"=*p",1
"=*P",1
"=*/",-1
"=*:",-1
"=*}",1
"=*{",-1
"=*|",-1
"=*\",-1
"=')",1
"=']",1
"='(",-1
"='[",-1
"='d",1
"='D",1
"='p",1
"='P",1
"='/",-1
"=':",-1
"='}",1
"='{",-1
"='|",-1
"='\",-1
"=)",1
"=]",1
"=(",-1
"=[",-1
"=d",1
"=D",1
"=p",1
"=P",1
"=/",-1
"=:",-1
"=}",1
"={",-1
"=|",-1
"=\",-1
")-:<",-1
"]-:<",-1
"(-:<",1
"[-:<",1
"d-:<",1
"D-:<",1
"p-:<",1
"P-:<",1
"/-:<",-1
":-:<",-1
"}-:<",-1
"{-:<",1
"|-:<",-1
"\-:<",-1
")o:<",-1
"]o:<",-1
"(o:<",1
"[o:<",1
"do:<",1
"Do:<",1
"po:<",1
"Po:<",1
"/o:<",-1
":o:<",-1
"}o:<",-1
"{o:<",1
"|o:<",-1
"\o:<",-1
")*:<",-1
"]*:<",-1
"(*:<",1
"[*:<",1
"d*:<",1
"D*:<",1
"p*:<",1
"P*:<",1
"/*:<",-1
":*:<",-1
"}*:<",-1
"{*:<",1
"|*:<",-1
"\*:<",-1
")':<",-1
"]':<",-1
"(':<",1
"[':<",1
"d':<",1
"D':<",1
"p':<",1
"P':<",1
"/':<",-1
":':<",-1
"}':<",-1
"{':<",1
"|':<",-1
"\':<",-1
"):<",-1
"]:<",-1
"(:<",1
"[:<",1
"d:<",1
"D:<",1
"p:<",1
"P:<",1
"/:<",-1
"::<",-1
"}:<",-1
"{:<",1
"|:<",-1
"\:<",-1
")-;<",-1
"]-;<",-1
"(-;<",1
"[-;<",1
"d-;<",1
"D-;<",1
"p-;<",1
"P-;<",1
"/-;<",-1
":-;<",-1
"}-;<",-1
"{-;<",1
"|-;<",-1
"\-;<",-1
")o;<",-1
"]o;<",-1
"(o;<",1
"[o;<",1
"do;<",1
"Do;<",1
"po;<",1
"Po;<",1
"/o;<",-1
":o;<",-1
"}o;<",-1
"{o;<",1
"|o;<",-1
"\o;<",-1
")*;<",-1
"]*;<",-1
"(*;<",1
"[*;<",1
"d*;<",1
"D*;<",1
"p*;<",1
"P*;<",1
"/*;<",-1
":*;<",-1
"}*;<",-1
"{*;<",1
"|*;<",-1
"\*;<",-1
")';<",-1
"]';<",-1
"(';<",1
"[';<",1
"d';<",1
"D';<",1
"p';<",1
"P';<",1
"/';<",-1
":';<",-1
"}';<",-1
"{';<",1
"|';<",-1
"\';<",-1
");<",-1
"];<",-1
"(;<",1
"[;<",1
"d;<",1
"D;<",1
"p;<",1
"P;<",1
"/;<",-1
":;<",-1
"};<",-1
"{;<",1
"|;<",-1
"\;<",-1
")-=<",-1
"]-=<",-1
"(-=<",1
"[-=<",1
"d-=<",1
"D-=<",1
"p-=<",1
"P-=<",1
"/-=<",-1
":-=<",-1
"}-=<",-1
"{-=<",1
"|-=<",-1
"\-=<",-1
")o=<",-1
"]o=<",-1
"(o=<",1
"[o=<",1
"do=<",1
"Do=<",1
"po=<",1
"Po=<",1
"/o=<",-1
":o=<",-1
"}o=<",-1
"{o=<",1
"|o=<",-1
"\o=<",-1
")*=<",-1
"]*=<",-1
"(*=<",1
"[*=<",1
"d*=<",1
"D*=<",1
"p*=<",1
"P*=<",1
"/*=<",-1
":*=<",-1
"}*=<",-1
"{*=<",1
"|*=<",-1
"\*=<",-1
")'=<",-1
"]'=<",-1
"('=<",1
"['=<",1
"d'=<",1
"D'=<",1
"p'=<",1
"P'=<",1
"/'=<",-1
":'=<",-1
"}'=<",-1
"{'=<",1
"|'=<",-1
"\'=<",-1
")=<",-1
"]=<",-1
"(=<",1
"[=<",1
"d=<",1
"D=<",1
"p=<",1
"P=<",1
"/=<",-1
":=<",-1
"}=<",-1
"{=<",1
"|=<",-1
"\=<",-1
")-:>",-1
"]-:>",-1
"(-:>",1
"[-:>",1
"d-:>",1
"D-:>",1
"p-:>",1
"P-:>",1
"/-:>",-1
":-:>",-1
"}-:>",-1
"{-:>",1
"|-:>",-1
"\-:>",-1
")o:>",-1
"]o:>",-1
"(o:>",1
"[o:>",1
"do:>",1
"Do:>",1
"po:>",1
"Po:>",1
"/o:>",-1
":o:>",-1
"}o:>",-1
"{o:>",1
"|o:>",-1
"\o:>",-1
")*:>",-1
"]*:>",-1
"(*:>",1
"[*:>",1
"d*:>",1
"D*:>",1
"p*:>",1
"P*:>",1
"/*:>",-1
":*:>",-1
"}*:>",-1
"{*:>",1
"|*:>",-1
"\*:>",-1
")':>",-1
"]':>",-1
"(':>",1
"[':>",1
"d':>",1
"D':>",1
"p':>",1
"P':>",1
"/':>",-1
":':>",-1
"}':>",-1
"{':>",1
"|':>",-1
"\':>",-1
"):>",-1
"]:>",-1
"(:>",1
"[:>",1
"d:>",1
"D:>",1
"p:>",1
"P:>",1
"/:>",-1
"::>",-1
"}:>",-1
"{:>",1
"|:>",-1
"\:>",-1
")-;>",-1
"]-;>",-1
"(-;>",1
"[-;>",1
"d-;>",1
"D-;>",1
"p-;>",1
"P-;>",1
"/-;>",-1
":-;>",-1
"}-;>",-1
"{-;>",1
"|-;>",-1
"\-;>",-1
")o;>",-1
"]o;>",-1
"(o;>",1
"[o;>",1
"do;>",1
"Do;>",1
"po;>",1
"Po;>",1
"/o;>",-1
":o;>",-1
"}o;>",-1
"{o;>",1
"|o;>",-1
"\o;>",-1
")*;>",-1
"]*;>",-1
"(*;>",1
"[*;>",1
"d*;>",1
"D*;>",1
"p*;>",1
"P*;>",1
"/*;>",-1
":*;>",-1
"}*;>",-1
"{*;>",1
"|*;>",-1
"\*;>",-1
")';>",-1
"]';>",-1
"(';>",1
"[';>",1
"d';>",1
"D';>",1
"p';>",1
"P';>",1
"/';>",-1
":';>",-1
"}';>",-1
"{';>",1
"|';>",-1
"\';>",-1
");>",-1
"];>",-1
"(;>",1
"[;>",1
"d;>",1
"D;>",1
"p;>",1
"P;>",1
"/;>",-1
":;>",-1
"};>",-1
"{;>",1
"|;>",-1
"\;>",-1
")-=>",-1
"]-=>",-1
"(-=>",1
"[-=>",1
"d-=>",1
"D-=>",1
"p-=>",1
"P-=>",1
"/-=>",-1
":-=>",-1
"}-=>",-1
"{-=>",1
"|-=>",-1
"\-=>",-1
")o=>",-1
"]o=>",-1
"(o=>",1
"[o=>",1
"do=>",1
"Do=>",1
"po=>",1
"Po=>",1
"/o=>",-1
":o=>",-1
"}o=>",-1
"{o=>",1
"|o=>",-1
"\o=>",-1
")*=>",-1
"]*=>",-1
"(*=>",1
"[*=>",1
"d*=>",1
"D*=>",1
"p*=>",1
"P*=>",1
"/*=>",-1
":*=>",-1
"}*=>",-1
"{*=>",1
"|*=>",-1
"\*=>",-1
")'=>",-1
"]'=>",-1
"('=>",1
"['=>",1
"d'=>",1
"D'=>",1
"p'=>",1
"P'=>",1
"/'=>",-1
":'=>",-1
"}'=>",-1
"{'=>",1
"|'=>",-1
"\'=>",-1
")=>",-1
"]=>",-1
"(=>",1
"[=>",1
"d=>",1
"D=>",1
"p=>",1
"P=>",1
"/=>",-1
":=>",-1
"}=>",-1
"{=>",1
"|=>",-1
"\=>",-1
")-:",-1
"]-:",-1
"(-:",1
"[-:",1
"d-:",1
"D-:",1
"p-:",1
"P-:",1
"/-:",-1
":-:",-1
"}-:",-1
"{-:",1
"|-:",-1
"\-:",-1
")o:",-1
"]o:",-1
"(o:",1
"[o:",1
"do:",1
"Do:",1
"po:",1
"Po:",1
"/o:",-1
":o:",-1
"}o:",-1
"{o:",1
"|o:",-1
"\o:",-1
")*:",-1
"]*:",-1
"(*:",1
"[*:",1
"d*:",1
"D*:",1
"p*:",1
"P*:",1
"/*:",-1
":*:",-1
"}*:",-1
"{*:",1
"|*:",-1
"\*:",-1
")':",-1
"]':",-1
"(':",1
"[':",1
"d':",1
"D':",1
"p':",1
"P':",1
"/':",-1
":':",-1
"}':",-1
"{':",1
"|':",-1
"\':",-1
"):",-1
"]:",-1
"(:",1
"[:",1
"d:",1
"D:",1
"p:",1
"P:",1
"/:",-1
"::",-1
"}:",-1
"{:",1
"|:",-1
"\:",-1
")-;",-1
"]-;",-1
"(-;",1
"[-;",1
"d-;",1
"D-;",1
"p-;",1
"P-;",1
"/-;",-1
":-;",-1
"}-;",-1
"{-;",1
"|-;",-1
"\-;",-1
")o;",-1
"]o;",-1
"(o;",1
"[o;",1
"do;",1
"Do;",1
"po;",1
"Po;",1
"/o;",-1
":o;",-1
"}o;",-1
"{o;",1
"|o;",-1
"\o;",-1
")*;",-1
"]*;",-1
"(*;",1
"[*;",1
"d*;",1
"D*;",1
"p*;",1
"P*;",1
"/*;",-1
":*;",-1
"}*;",-1
"{*;",1
"|*;",-1
"\*;",-1
")';",-1
"]';",-1
"(';",1
"[';",1
"d';",1
"D';",1
"p';",1
"P';",1
"/';",-1
":';",-1
"}';",-1
"{';",1
"|';",-1
"\';",-1
");",-1
"];",-1
"(;",1
"[;",1
"d;",1
"D;",1
"p;",1
"P;",1
"/;",-1
":;",-1
"};",-1
"{;",1
"|;",-1
"\;",-1
")-=",-1
"]-=",-1
"(-=",1
"[-=",1
"d-=",1
"D-=",1
"p-=",1
"P-=",1
"/-=",-1
":-=",-1
"}-=",-1
"{-=",1
"|-=",-1
"\-=",-1
")o=",-1
"]o=",-1
"(o=",1
"[o=",1
"do=",1
"Do=",1
"po=",1
"Po=",1
"/o=",-1
":o=",-1
"}o=",-1
"{o=",1
"|o=",-1
"\o=",-1
")*=",-1
"]*=",-1
"(*=",1
"[*=",1
"d*=",1
"D*=",1
"p*=",1
"P*=",1
"/*=",-1
":*=",-1
"}*=",-1
"{*=",1
"|*=",-1
"\*=",-1
")'=",-1
"]'=",-1
"('=",1
"['=",1
"d'=",1
"D'=",1
"p'=",1
"P'=",1
"/'=",-1
":'=",-1
"}'=",-1
"{'=",1
"|'=",-1
"\'=",-1
")=",-1
"]=",-1
"(=",1
"[=",1
"d=",1
"D=",1
"p=",1
"P=",1
"/=",-1
":=",-1
"}=",-1
"{=",1
"|=",-1
"\=",-1
