"stem","sentiment"
"abund","1"
"acclaim","1"
"accomplish","1"
"achiev","1"
"adequ","1"
"advanc","1"
"advantag","1"
"allianc","1"
"assur","1"
"attain","1"
"attract","1"
"beauti","1"
"benefici","1"
"benefit","1"
"best","1"
"better","1"
"bolster","1"
"boom","1"
"boost","1"
"breakthrough","1"
"brilliant","1"
"charit","1"
"collabor","1"
"compliment","1"
"complimentari","1"
"conclus","1"
"conduc","1"
"confid","1"
"construct","1"
"courteous","1"
"creativ","1"
"delight","1"
"depend","1"
"desir","1"
"despit","1"
"destin","1"
"dilig","1"
"distinct","1"
"dream","1"
"easier","1"
"easili","1"
"easi","1"
"effect","1"
"effici","1"
"empow","1"
"enabl","1"
"encourag","1"
"enhanc","1"
"enjoy","1"
"enthusiasm","1"
"enthusiast","1"
"excel","1"
"except","1"
"excit","1"
"exclus","1"
"exemplari","1"
"fantast","1"
"favor","1"
"favorit","1"
"friend","1"
"gain","1"
"good","1"
"great","1"
"greater","1"
"greatest","1"
"happiest","1"
"happili","1"
"happi","1"
"highest","1"
"honor","1"
"ideal","1"
"impress","1"
"improv","1"
"incred","1"
"influenti","1"
"inform","1"
"ingenu","1"
"innov","1"
"insight","1"
"inspir","1"
"integr","1"
"invent","1"
"inventor","1"
"leadership","1"
"lead","1"
"loyal","1"
"lucrat","1"
"meritori","1"
"opportun","1"
"optimist","1"
"outperform","1"
"perfect","1"
"pleasant","1"
"pleas","1"
"pleasur","1"
"plenti","1"
"popular","1"
"posit","1"
"preemin","1"
"premier","1"
"prestig","1"
"prestigi","1"
"proactiv","1"
"profici","1"
"profit","1"
"progress","1"
"prosper","1"
"rebound","1"
"recept","1"
"regain","1"
"resolv","1"
"revolution","1"
"reward","1"
"satisfact","1"
"satisfactorili","1"
"satisfactori","1"
"satisfi","1"
"smooth","1"
"solv","1"
"spectacular","1"
"stabil","1"
"stabl","1"
"strength","1"
"strengthen","1"
"strong","1"
"stronger","1"
"strongest","1"
"succeed","1"
"success","1"
"superior","1"
"surpass","1"
"transpar","1"
"tremend","1"
"unmatch","1"
"unparallel","1"
"unsurpass","1"
"upturn","1"
"valuabl","1"
"versatil","1"
"vibranc","1"
"vibrant","1"
"win","1"
"winner","1"
"worthi","1"
"abandon","-1"
"abdic","-1"
"aberr","-1"
"abet","-1"
"abnorm","-1"
"abolish","-1"
"abrog","-1"
"abrupt","-1"
"absenc","-1"
"absente","-1"
"abus","-1"
"accid","-1"
"accident","-1"
"accus","-1"
"acquiesc","-1"
"acquit","-1"
"acquitt","-1"
"adulter","-1"
"adversari","-1"
"advers","-1"
"aftermath","-1"
"against","-1"
"aggrav","-1"
"alert","-1"
"alien","-1"
"alleg","-1"
"annoy","-1"
"annul","-1"
"anomali","-1"
"anomal","-1"
"anticompetit","-1"
"antitrust","-1"
"argu","-1"
"argument","-1"
"arrearag","-1"
"arrear","-1"
"arrest","-1"
"artifici","-1"
"assault","-1"
"assert","-1"
"attrit","-1"
"avers","-1"
"backdat","-1"
"bad","-1"
"bail","-1"
"bailout","-1"
"balk","-1"
"bankrupt","-1"
"bankruptci","-1"
"ban","-1"
"bar","-1"
"barrier","-1"
"bottleneck","-1"
"boycott","-1"
"boycot","-1"
"breach","-1"
"break","-1"
"breakag","-1"
"breakdown","-1"
"bribe","-1"
"briberi","-1"
"bridg","-1"
"broken","-1"
"burden","-1"
"burdensom","-1"
"burn","-1"
"calam","-1"
"calamit","-1"
"cancel","-1"
"careless","-1"
"catastroph","-1"
"caution","-1"
"cautionari","-1"
"ceas","-1"
"censur","-1"
"challeng","-1"
"chargeoff","-1"
"circumv","-1"
"circumvent","-1"
"claim","-1"
"clawback","-1"
"close","-1"
"closeout","-1"
"closur","-1"
"coerc","-1"
"coercion","-1"
"coerciv","-1"
"collaps","-1"
"collis","-1"
"collud","-1"
"collus","-1"
"complain","-1"
"complaint","-1"
"complic","-1"
"compuls","-1"
"conceal","-1"
"conced","-1"
"concern","-1"
"concili","-1"
"condemn","-1"
"condon","-1"
"confess","-1"
"confin","-1"
"confisc","-1"
"conflict","-1"
"confront","-1"
"confus","-1"
"conspiraci","-1"
"conspir","-1"
"conspiratori","-1"
"contempt","-1"
"contend","-1"
"content","-1"
"contenti","-1"
"contest","-1"
"contract","-1"
"contradict","-1"
"contradictori","-1"
"contrari","-1"
"controversi","-1"
"convict","-1"
"correct","-1"
"corrupt","-1"
"cost","-1"
"counterclaim","-1"
"counterfeit","-1"
"countermeasur","-1"
"crime","-1"
"crimin","-1"
"crise","-1"
"crisi","-1"
"critic","-1"
"crucial","-1"
"culpabl","-1"
"cumbersom","-1"
"curtail","-1"
"cut","-1"
"cutback","-1"
"damag","-1"
"dampen","-1"
"danger","-1"
"deadlock","-1"
"deadweight","-1"
"debar","-1"
"deceas","-1"
"deceit","-1"
"deceiv","-1"
"decept","-1"
"declin","-1"
"defac","-1"
"defam","-1"
"defamatori","-1"
"default","-1"
"defeat","-1"
"defect","-1"
"defend","-1"
"defens","-1"
"defer","-1"
"defici","-1"
"deficit","-1"
"defraud","-1"
"defunct","-1"
"degrad","-1"
"delay","-1"
"deleteri","-1"
"deliber","-1"
"delinqu","-1"
"delist","-1"
"demis","-1"
"demolish","-1"
"demolit","-1"
"demot","-1"
"denial","-1"
"deni","-1"
"denigr","-1"
"deplet","-1"
"deprec","-1"
"depress","-1"
"depriv","-1"
"derelict","-1"
"derogatori","-1"
"destabil","-1"
"destroy","-1"
"destruct","-1"
"detain","-1"
"detent","-1"
"deter","-1"
"deterior","-1"
"deterr","-1"
"detract","-1"
"detriment","-1"
"devalu","-1"
"devast","-1"
"deviat","-1"
"devolv","-1"
"difficult","-1"
"difficulti","-1"
"diminish","-1"
"diminut","-1"
"disadvantag","-1"
"disaffili","-1"
"disagre","-1"
"disagr","-1"
"disallow","-1"
"disappear","-1"
"disappoint","-1"
"disapprov","-1"
"disassoci","-1"
"disast","-1"
"disastr","-1"
"disavow","-1"
"disciplinari","-1"
"disclaim","-1"
"disclos","-1"
"discontinu","-1"
"discourag","-1"
"discredit","-1"
"discrep","-1"
"disfavor","-1"
"disgorg","-1"
"disgrac","-1"
"dishonest","-1"
"dishonesti","-1"
"dishonor","-1"
"disincent","-1"
"disinterest","-1"
"disinterested","-1"
"disloy","-1"
"disloyalti","-1"
"dismal","-1"
"dismiss","-1"
"disord","-1"
"disparag","-1"
"dispar","-1"
"displac","-1"
"dispos","-1"
"dispossess","-1"
"disproport","-1"
"disproportion","-1"
"disput","-1"
"disqualif","-1"
"disqualifi","-1"
"disregard","-1"
"disreput","-1"
"disrupt","-1"
"dissatisfact","-1"
"dissatisfi","-1"
"dissent","-1"
"dissid","-1"
"dissolut","-1"
"distort","-1"
"distract","-1"
"distress","-1"
"disturb","-1"
"divers","-1"
"divert","-1"
"divest","-1"
"divestitur","-1"
"divorc","-1"
"divulg","-1"
"doubt","-1"
"downgrad","-1"
"downsiz","-1"
"downtim","-1"
"downturn","-1"
"downward","-1"
"drag","-1"
"drastic","-1"
"drawback","-1"
"drop","-1"
"drought","-1"
"duress","-1"
"dysfunct","-1"
"eas","-1"
"egregi","-1"
"embargo","-1"
"embarrass","-1"
"embezzl","-1"
"encroach","-1"
"encumb","-1"
"encumbr","-1"
"endang","-1"
"endanger","-1"
"enjoin","-1"
"erod","-1"
"eros","-1"
"errat","-1"
"er","-1"
"erron","-1"
"error","-1"
"err","-1"
"escal","-1"
"evad","-1"
"evas","-1"
"evict","-1"
"exacerb","-1"
"exagger","-1"
"excess","-1"
"exculp","-1"
"exculpatori","-1"
"exoner","-1"
"exploit","-1"
"expos","-1"
"expropri","-1"
"expuls","-1"
"extenu","-1"
"fail","-1"
"failur","-1"
"fallout","-1"
"fals","-1"
"falsif","-1"
"falsifi","-1"
"falsiti","-1"
"fatal","-1"
"fault","-1"
"faulti","-1"
"fear","-1"
"feloni","-1"
"fictiti","-1"
"fine","-1"
"fire","-1"
"flaw","-1"
"forbid","-1"
"forbidden","-1"
"forc","-1"
"foreclos","-1"
"foreclosur","-1"
"forego","-1"
"foregon","-1"
"forestal","-1"
"forfeit","-1"
"forfeitur","-1"
"forger","-1"
"forgeri","-1"
"fraud","-1"
"fraudul","-1"
"frivol","-1"
"frustrat","-1"
"fugit","-1"
"gratuit","-1"
"grievanc","-1"
"grossli","-1"
"groundless","-1"
"guilti","-1"
"halt","-1"
"hamper","-1"
"harass","-1"
"hardship","-1"
"harm","-1"
"harsh","-1"
"harsher","-1"
"harshest","-1"
"hazard","-1"
"hinder","-1"
"hindranc","-1"
"hostil","-1"
"hurt","-1"
"idl","-1"
"ignor","-1"
"ill","-1"
"illeg","-1"
"illicit","-1"
"illiquid","-1"
"imbal","-1"
"immatur","-1"
"immor","-1"
"impair","-1"
"impass","-1"
"imped","-1"
"impedi","-1"
"impend","-1"
"imper","-1"
"imperfect","-1"
"imperil","-1"
"impermiss","-1"
"implic","-1"
"imposs","-1"
"impound","-1"
"impractic","-1"
"impract","-1"
"imprison","-1"
"improp","-1"
"improprieti","-1"
"imprud","-1"
"inabl","-1"
"inaccess","-1"
"inaccuraci","-1"
"inaccur","-1"
"inact","-1"
"inactiv","-1"
"inadequaci","-1"
"inadequ","-1"
"inadvert","-1"
"inadvis","-1"
"inappropri","-1"
"inattent","-1"
"incap","-1"
"incapacit","-1"
"incapac","-1"
"incarcer","-1"
"incid","-1"
"incompat","-1"
"incompet","-1"
"incomplet","-1"
"inconclus","-1"
"inconsist","-1"
"inconveni","-1"
"incorrect","-1"
"indec","-1"
"indefeas","-1"
"indict","-1"
"ineffect","-1"
"ineffici","-1"
"inelig","-1"
"inequit","-1"
"inequ","-1"
"inevit","-1"
"inexperi","-1"
"inexperienc","-1"
"inferior","-1"
"inflict","-1"
"infract","-1"
"infring","-1"
"inhibit","-1"
"inim","-1"
"injunct","-1"
"injur","-1"
"injuri","-1"
"inordin","-1"
"inquiri","-1"
"insecur","-1"
"insensit","-1"
"insolv","-1"
"instabl","-1"
"insubordin","-1"
"insuffici","-1"
"insurrect","-1"
"intent","-1"
"interfer","-1"
"interf","-1"
"intermitt","-1"
"interrupt","-1"
"intimid","-1"
"intrus","-1"
"invalid","-1"
"investig","-1"
"involuntarili","-1"
"involuntari","-1"
"irreconcil","-1"
"irrecover","-1"
"irregular","-1"
"irrepar","-1"
"irrevers","-1"
"jeopard","-1"
"justifi","-1"
"kickback","-1"
"know","-1"
"lack","-1"
"lacklust","-1"
"lag","-1"
"laps","-1"
"late","-1"
"launder","-1"
"layoff","-1"
"lie","-1"
"limit","-1"
"linger","-1"
"liquid","-1"
"litig","-1"
"lockout","-1"
"lose","-1"
"loss","-1"
"lost","-1"
"malfeas","-1"
"malfunct","-1"
"malic","-1"
"malici","-1"
"malpractic","-1"
"manipul","-1"
"markdown","-1"
"misappl","-1"
"misappli","-1"
"misappropri","-1"
"misbrand","-1"
"miscalcul","-1"
"mischief","-1"
"misclassif","-1"
"misclassifi","-1"
"misconduct","-1"
"misdat","-1"
"misdemeanor","-1"
"misdirect","-1"
"mishandl","-1"
"misinform","-1"
"misinterpret","-1"
"misjudg","-1"
"mislabel","-1"
"mislead","-1"
"misl","-1"
"mismanag","-1"
"mismatch","-1"
"misplac","-1"
"misrepres","-1"
"misrepresent","-1"
"miss","-1"
"misstat","-1"
"misstep","-1"
"mistak","-1"
"mistaken","-1"
"mistrial","-1"
"misunderstand","-1"
"misunderstood","-1"
"misus","-1"
"monopolist","-1"
"monopol","-1"
"monopoli","-1"
"moratoria","-1"
"moratorium","-1"
"mothbal","-1"
"negat","-1"
"neglect","-1"
"neglig","-1"
"nonattain","-1"
"noncompetit","-1"
"noncompli","-1"
"nonconform","-1"
"nondisclosur","-1"
"nonfunct","-1"
"nonpay","-1"
"nonperform","-1"
"nonproduc","-1"
"nonproduct","-1"
"nonrecover","-1"
"nonrenew","-1"
"nuisanc","-1"
"nullif","-1"
"nullifi","-1"
"object","-1"
"objection","-1"
"obscen","-1"
"obsolesc","-1"
"obsolet","-1"
"obstacl","-1"
"obstruct","-1"
"offenc","-1"
"offend","-1"
"omiss","-1"
"omit","-1"
"oner","-1"
"opportunist","-1"
"oppos","-1"
"opposit","-1"
"outag","-1"
"outdat","-1"
"outmod","-1"
"overag","-1"
"overbuild","-1"
"overbuilt","-1"
"overburden","-1"
"overcapac","-1"
"overcharg","-1"
"overcom","-1"
"overdu","-1"
"overestim","-1"
"overload","-1"
"overlook","-1"
"overpaid","-1"
"overpay","-1"
"overproduc","-1"
"overproduct","-1"
"overrun","-1"
"overshadow","-1"
"overst","-1"
"overstat","-1"
"oversuppli","-1"
"overt","-1"
"overturn","-1"
"overvalu","-1"
"panic","-1"
"penal","-1"
"penalti","-1"
"peril","-1"
"perjuri","-1"
"perpetr","-1"
"persist","-1"
"pervas","-1"
"petti","-1"
"picket","-1"
"plaintiff","-1"
"plea","-1"
"plead","-1"
"pled","-1"
"poor","-1"
"pose","-1"
"postpon","-1"
"precipit","-1"
"preclud","-1"
"predatori","-1"
"prejudic","-1"
"prejud","-1"
"prejudici","-1"
"prematur","-1"
"press","-1"
"pretrial","-1"
"prevent","-1"
"problem","-1"
"problemat","-1"
"prolong","-1"
"prone","-1"
"prosecut","-1"
"protest","-1"
"protestor","-1"
"protract","-1"
"provok","-1"
"punish","-1"
"punit","-1"
"purport","-1"
"question","-1"
"quit","-1"
"racket","-1"
"ration","-1"
"reassess","-1"
"reassign","-1"
"recal","-1"
"recess","-1"
"recessionari","-1"
"reckless","-1"
"redact","-1"
"redefault","-1"
"redress","-1"
"refus","-1"
"reject","-1"
"relinquish","-1"
"reluct","-1"
"renegoti","-1"
"renounc","-1"
"repar","-1"
"repossess","-1"
"repudi","-1"
"resign","-1"
"restat","-1"
"restructur","-1"
"retali","-1"
"retaliatori","-1"
"retribut","-1"
"revoc","-1"
"revok","-1"
"ridicul","-1"
"riskier","-1"
"riskiest","-1"
"riski","-1"
"sabotag","-1"
"sacrific","-1"
"sacrif","-1"
"sacrifici","-1"
"scandal","-1"
"scrutin","-1"
"scrutini","-1"
"secreci","-1"
"seiz","-1"
"sentenc","-1"
"serious","-1"
"setback","-1"
"sever","-1"
"sharpli","-1"
"shock","-1"
"shortag","-1"
"shortfal","-1"
"shrinkag","-1"
"shut","-1"
"shutdown","-1"
"slander","-1"
"slippag","-1"
"slow","-1"
"slowdown","-1"
"slower","-1"
"slowest","-1"
"slowli","-1"
"sluggish","-1"
"solvenc","-1"
"stagger","-1"
"stagnant","-1"
"stagnat","-1"
"standstil","-1"
"stolen","-1"
"stoppag","-1"
"stop","-1"
"strain","-1"
"stress","-1"
"stringent","-1"
"subject","-1"
"subpoena","-1"
"substandard","-1"
"sue","-1"
"su","-1"
"suffer","-1"
"summon","-1"
"summons","-1"
"suscept","-1"
"suspect","-1"
"suspend","-1"
"suspens","-1"
"suspicion","-1"
"suspici","-1"
"taint","-1"
"tamper","-1"
"tens","-1"
"termin","-1"
"testifi","-1"
"threat","-1"
"threaten","-1"
"tighten","-1"
"toler","-1"
"tortuous","-1"
"tragedi","-1"
"tragic","-1"
"traumat","-1"
"troubl","-1"
"turbul","-1"
"turmoil","-1"
"unabl","-1"
"unaccept","-1"
"unaccount","-1"
"unannounc","-1"
"unanticip","-1"
"unapprov","-1"
"unattract","-1"
"unauthor","-1"
"unavail","-1"
"unavoid","-1"
"unawar","-1"
"uncollect","-1"
"uncompetit","-1"
"uncomplet","-1"
"unconscion","-1"
"uncontrol","-1"
"uncorrect","-1"
"uncov","-1"
"undeliver","-1"
"undeliv","-1"
"undercapit","-1"
"undercut","-1"
"underestim","-1"
"underfund","-1"
"underinsur","-1"
"undermin","-1"
"underpaid","-1"
"underpay","-1"
"underperform","-1"
"underproduc","-1"
"underproduct","-1"
"underreport","-1"
"underst","-1"
"understat","-1"
"underutil","-1"
"undesir","-1"
"undetect","-1"
"undetermin","-1"
"undisclos","-1"
"undocu","-1"
"undu","-1"
"unduli","-1"
"uneconom","-1"
"unemploy","-1"
"uneth","-1"
"unexcus","-1"
"unexpect","-1"
"unfair","-1"
"unfavor","-1"
"unfavour","-1"
"unfeas","-1"
"unfit","-1"
"unforese","-1"
"unforeseen","-1"
"unforseen","-1"
"unfortun","-1"
"unfound","-1"
"unfriend","-1"
"unfulfil","-1"
"unfund","-1"
"uninsur","-1"
"unintend","-1"
"unintent","-1"
"unjust","-1"
"unjustifi","-1"
"unknow","-1"
"unlaw","-1"
"unlicens","-1"
"unliquid","-1"
"unmarket","-1"
"unmerchant","-1"
"unnecessarili","-1"
"unnecessari","-1"
"unneed","-1"
"unobtain","-1"
"unoccupi","-1"
"unpaid","-1"
"unperform","-1"
"unplan","-1"
"unpopular","-1"
"unpredict","-1"
"unproduct","-1"
"unprofit","-1"
"unqualifi","-1"
"unrealist","-1"
"unreason","-1"
"unrecover","-1"
"unrecov","-1"
"unreimburs","-1"
"unreli","-1"
"unremedi","-1"
"unreport","-1"
"unresolv","-1"
"unrest","-1"
"unsaf","-1"
"unsal","-1"
"unsatisfactori","-1"
"unsatisfi","-1"
"unsavori","-1"
"unschedul","-1"
"unsold","-1"
"unsound","-1"
"unstabl","-1"
"unsubstanti","-1"
"unsuccess","-1"
"unsuit","-1"
"unsur","-1"
"unsuspect","-1"
"unsustain","-1"
"unten","-1"
"untim","-1"
"untruth","-1"
"unus","-1"
"unwant","-1"
"unwarr","-1"
"unwelcom","-1"
"unwil","-1"
"unwilling","-1"
"upset","-1"
"urgenc","-1"
"urgent","-1"
"usuri","-1"
"usurp","-1"
"vandal","-1"
"verdict","-1"
"veto","-1"
"victim","-1"
"violat","-1"
"violenc","-1"
"violent","-1"
"vitiat","-1"
"void","-1"
"volatil","-1"
"vulner","-1"
"warn","-1"
"wast","-1"
"weak","-1"
"weaken","-1"
"weaker","-1"
"weakest","-1"
"will","-1"
"worri","-1"
"wors","-1"
"worsen","-1"
"worst","-1"
"worthless","-1"
"writedown","-1"
"writeoff","-1"
"wrong","-1"
"wrongdo","-1"
